speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0.333333,0.293284,0.209600,0.192157,0.040667,3
0.000000,0.470986,0.074900,0.141176,0.008000,1
0.241667,0.744905,0.215500,0.188235,0.052667,3
0.000000,0.221073,0.000000,0.176471,0.001667,1
0.000000,0.512564,0.070400,0.133333,0.046667,1
0.000000,0.296764,0.069500,0.133333,0.005333,1
0.366667,0.155252,0.141775,0.239216,0.458333,3
0.000000,0.334877,0.172600,0.160784,0.029667,1
0.000000,0.283689,0.000000,0.176471,0.000000,1
0.391667,0.372078,0.104450,0.160784,0.073667,3
0.000000,1.694056,0.000000,0.176471,0.001333,2
0.100000,0.148501,0.117200,0.200000,0.007000,3
0.000000,0.623670,0.068900,0.133333,0.001000,1
0.483333,0.343183,0.229200,0.156863,0.004000,3
0.000000,1.786190,0.000000,0.176471,0.000000,2
0.000000,0.308603,0.070900,0.133333,0.010667,1
0.000000,1.778597,0.069400,0.133333,0.011333,2
0.000000,0.510196,0.070400,0.137255,0.003667,1
0.000000,0.309082,0.075200,0.137255,0.003667,1
0.000000,0.390662,0.075000,0.137255,0.006333,1
0.000000,0.279415,0.000000,0.176471,0.001000,1
0.000000,1.783686,0.000000,0.176471,0.080333,2
0.000000,0.801428,0.070300,0.137255,0.060333,1
0.066667,0.295812,0.076900,0.141176,0.064667,1
0.000000,0.830999,0.074500,0.137255,0.747667,1
0.000000,0.266557,0.139600,0.164706,0.004667,1
0.000000,0.334968,0.074400,0.137255,0.014000,1
0.000000,0.468487,0.070000,0.133333,0.126333,1
0.000000,0.409591,0.000000,0.176471,0.034000,1
0.000000,1.794301,0.000000,0.152941,0.004333,2
0.000000,1.779801,0.069600,0.137255,0.008000,2
0.000000,1.789388,0.000000,0.176471,0.000667,2
0.100000,0.735100,0.080000,0.137255,0.170000,1
0.000000,0.384968,0.069800,0.133333,0.003000,1
0.000000,1.779495,0.000000,0.176471,0.000667,2
0.000000,0.508030,0.069900,0.137255,0.009000,1
0.625000,0.258245,0.385200,0.176471,0.257333,3
0.141667,0.033815,0.075100,0.137255,0.049000,1
0.000000,0.834711,0.000000,0.176471,0.046667,2
0.000000,0.441721,0.069700,0.133333,0.306667,1
0.000000,0.784592,0.119600,0.141176,0.013667,1
0.000000,1.783219,0.000000,0.176471,0.003000,2
0.000000,0.696624,0.000000,0.176471,1.480000,1
0.316667,0.438287,0.281500,0.203922,0.189000,3
0.000000,1.678488,0.000000,0.176471,0.053667,2
0.000000,1.791314,0.000000,0.176471,0.001000,2
0.400000,0.281292,0.250400,0.223529,0.669000,3
0.041667,0.275670,0.147000,0.196078,0.006000,3
0.000000,0.448319,0.142200,0.141176,0.013000,1
0.000000,0.470310,0.074700,0.137255,0.001667,1
0.000000,0.497864,0.073800,0.137255,0.001000,1
0.000000,0.283170,0.075400,0.137255,0.010667,1
0.000000,0.206085,0.000000,0.176471,0.004000,1
0.000000,0.396693,0.075500,0.137255,0.000333,1
0.000000,1.787429,0.000000,0.258824,0.002000,2
0.000000,0.541704,0.069400,0.133333,0.008333,1
0.166667,0.526386,0.217300,0.243137,0.121333,3
0.000000,0.517713,0.109700,0.176471,0.013000,1
0.000000,0.250950,0.135000,0.164706,0.019333,1
0.000000,0.580297,0.068900,0.133333,0.001667,1
0.000000,1.910879,0.000000,0.176471,2.908333,2
0.166667,1.031019,0.265600,0.266667,0.415667,3
0.000000,1.830599,0.000000,0.176471,0.130333,2
0.000000,0.254625,0.069200,0.133333,0.000000,1
0.000000,0.670799,0.084125,0.164706,0.003000,1
0.125000,0.174665,0.127700,0.207843,0.400667,3
0.000000,1.826873,0.000000,0.176471,0.272333,2
0.000000,0.259507,0.126400,0.152941,0.115667,1
0.000000,0.746739,0.119100,0.137255,0.025000,1
0.091667,0.545951,0.087300,0.168627,0.203667,1
0.200000,0.806478,0.077700,0.141176,0.069667,1
0.066667,0.342589,0.121100,0.152941,1.276333,1
0.025000,0.437553,0.138100,0.160784,0.053000,1
0.508333,0.328337,0.124600,0.164706,0.064000,3
0.000000,1.788552,0.000000,0.176471,0.002000,2
0.000000,0.282591,0.000000,0.176471,0.022667,1
0.091667,0.668473,0.087600,0.184314,0.268667,1
0.041667,1.036178,0.132300,0.176471,0.067333,3
0.000000,0.565308,0.068800,0.133333,0.004333,1
0.000000,0.242427,0.000000,0.176471,0.002333,1
0.000000,0.304644,0.000000,0.176471,0.001000,1
0.000000,0.625480,0.074800,0.137255,0.016333,1
0.000000,0.403212,0.070000,0.133333,0.008333,1
0.000000,1.782719,0.000000,0.176471,0.001333,2
0.000000,0.548489,0.070300,0.133333,0.005333,1
0.300000,0.217242,0.187100,0.184314,0.137000,3
0.000000,1.525509,0.107700,0.149020,0.018000,2
0.000000,0.299643,0.000000,0.176471,0.002000,1
0.000000,0.388286,0.079000,0.137255,0.017000,1
0.150000,0.326419,0.076400,0.137255,0.015000,1
0.000000,1.526780,0.000000,0.176471,0.393000,2
0.225000,0.542318,0.143100,0.145098,0.248000,1
0.075000,0.832927,0.077200,0.137255,0.034000,1
0.000000,0.874101,0.079600,0.149020,0.061000,1
0.000000,0.250915,0.074500,0.137255,0.003667,1
0.000000,1.778485,0.000000,0.176471,0.002333,2
0.733333,0.238899,0.299200,0.168627,0.720333,3
0.000000,1.781668,0.000000,0.176471,0.001333,2
0.058333,0.322844,0.080150,0.149020,0.123667,1
0.000000,1.654453,0.197000,0.160784,0.031667,2
0.016667,0.433089,0.120700,0.164706,0.014000,1
0.000000,0.482346,0.075200,0.137255,0.002333,1
0.000000,0.561000,0.074400,0.137255,0.001000,1
0.275000,0.514095,0.168400,0.149020,0.105000,1
0.150000,0.326132,0.135500,0.141176,0.047000,1
0.300000,0.384887,0.238600,0.156863,0.122333,3
0.358333,0.333479,0.223400,0.196078,0.083667,3
0.325000,0.324640,0.205500,0.184314,0.060667,3
